#Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
Gustav-Werner-Schule;Walddorf Gustav-Werner-Schule;29044;de:08415:29044;8415087;Walddorfhäslach;Walddorf;RT;4,59;Bus;189A,805;31189a,31805_;2;31;9,183713915;48,59027567
Rathaus;Häslach Rathaus;24319;de:08415:24319;8415087;Walddorfhäslach;Häslach;RT;4,59;Bus;189A,805,809A;31189a,31805_,31809a;3;31;9,195766437;48,59767469
Etzelweg;Kohlberg Etzelweg;2821;de:08116:2821;8116036;Kohlberg;Kohlberg;ES;70,5;"Bus;Ruftaxi";192,198,199,RT198;31192_,31198_,31199_,50198_;4;31,5;9,337614377;48,5582452
Hörnlesweg;Kohlberg Hörnlesweg;4321;de:08116:4321;8116036;Kohlberg;Kohlberg;ES;5,7;"Bus;Ruftaxi";192,198,199,RT198;31192_,31198_,31199_,50198_;4;31,5;9,342013144;48,55965305
Rathaus;Kohlberg Rathaus;5903;de:08116:5903;8116036;Kohlberg;Kohlberg;ES;70,5;"Bus;Ruftaxi";192,198,199,RT198;31192_,31198_,31199_,50198_;4;31,5;9,33388203;48,5592543
Rathaus;Kappishäusern Rathaus;2820;de:08116:2820;8116046;Neuffen;Kappishäusern;ES;70,5;"Bus;Ruftaxi";192,199,RT198;31192_,31199_,50198_;3;31,5;9,326940709;48,55007469
Feuersee;Kappishäusern Feuersee;4492;de:08116:4492;8116046;Neuffen;Kappishäusern;ES;5,7;"Bus;Ruftaxi";192,199,RT198;31192_,31199_,50198_;3;31,5;9,329349828;48,54770272
Linde;Kappishäusern Linde;4493;de:08116:4493;8116046;Neuffen;Kappishäusern;ES;5,7;"Bus;Ruftaxi";192,199,RT198;31192_,31199_,50198_;3;31,5;9,323057001;48,55065221
Hölzlachstraße;Frickenhausen Hölzlachstr.;2824;de:08116:2824;8116020;Frickenhausen;Frickenhausen;ES;60,70,5;"Bus;Ruftaxi";195,198,RT195,RT198;31195_,31198_,50195_,50198_;4;31,5;9,359623844;48,59003063
Schule;Frickenhausen Schule;4429;de:08116:4429;8116020;Frickenhausen;Frickenhausen;ES;5,60,70;"Bus;Ruftaxi";195,198,RT195,RT198;31195_,31198_,50195_,50198_;4;31,5;9,355735812;48,59037545
Rathaus;Tischardt Rathaus;4466;de:08116:4466;8116020;Frickenhausen;Tischardt;ES;5,60,70;"Bus;Ruftaxi";195,198,RT195,RT198;31195_,31198_,50195_,50198_;4;31,5;9,330238857;48,57603624
Reutte;Frickenhausen Reutte;4467;de:08116:4467;8116020;Frickenhausen;Frickenhausen;ES;5,60,70;"Bus;Ruftaxi";195,198,RT195,RT198;31195_,31198_,50195_,50198_;4;31,5;9,350051814;48,59173281
Frickenhäuser Straße;Tischardt Frickenhäuser Str.;7805;de:08116:7805;8116020;Frickenhausen;Tischardt;ES;5,60,70;"Bus;Ruftaxi";195,198,RT195,RT198;31195_,31198_,50195_,50198_;4;31,5;9,333247732;48,57814983
